quality sub-characteristic	Practice	Annotator_1	Annotator_2	Annotator_3	Annotator_4	Annotator_5	Annotator_6	Annotator_7	Annotator_8	Annotator_9	Annotator_10	Annotator_11	Annotator_12	Annotator_13
extensibility	establish clear success metric before model design	2	2	0	0	1	0	0	2	1	1	0	1	0
maintainability	establish clear success metric before model design	2	2	0	0	0	0	0	2	0	0	0	1	0
modularity	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	establish clear success metric before model design	0	1	0	0	0	0	1	0	1	0	1	0	0
traceability	establish clear success metric before model design	0	4	0	0	0	0	0	0	1	4	0	3	0
understandability	establish clear success metric before model design	2	3	2	2	1	3	1	3	1	2	1	1	0
usability	establish clear success metric before model design	0	2	0	1	0	0	1	4	3	0	2	0	0
debuggability	establish clear success metric before model design	1	0	0	0	0	1	0	0	3	3	1	0	0
explainability	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	establish clear success metric before model design	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	prevent consequences of using a model as input to another	0	3	3	3	0	4	3	3	3	4	3	2	2
effectiveness	prevent consequences of using a model as input to another	2	3	4	3	0	4	3	3	3	3	4	1	1
responsiveness	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	prevent consequences of using a model as input to another	0	3	0	1	0	3	3	3	0	3	2	0	0
cost-effectiveness	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	prevent consequences of using a model as input to another	0	3	0	0	3	2	1	2	2	2	3	0	2
resilience	prevent consequences of using a model as input to another	4	3	3	1	3	4	3	3	2	4	3	3	0
adaptability	prevent consequences of using a model as input to another	3	0	0	0	0	2	3	0	3	2	3	2	1
scalability	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	prevent consequences of using a model as input to another	3	3	3	2	0	3	3	3	2	4	3	1	0
modularity	prevent consequences of using a model as input to another	0	1	0	0	0	2	1	3	0	1	4	0	0
testability	prevent consequences of using a model as input to another	1	0	0	0	3	1	3	2	4	4	3	0	1
deployability	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	prevent consequences of using a model as input to another	0	1	2	0	3	3	3	3	3	4	2	4	2
understandability	prevent consequences of using a model as input to another	1	3	0	0	3	1	1	2	2	4	2	1	0
usability	prevent consequences of using a model as input to another	0	4	0	0	0	0	3	2	3	3	1	0	1
debuggability	prevent consequences of using a model as input to another	2	3	2	2	3	4	3	1	3	4	3	3	1
explainability	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	prevent consequences of using a model as input to another	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	error analysis	2	4	4	2	0	0	3	3	3	4	2	3	3
effectiveness	error analysis	3	4	2	2	0	3	3	3	3	4	3	1	3
responsiveness	error analysis	1	0	0	2	0	1	2	3	0	4	3	1	0
reusability	error analysis	0	1	0	2	1	2	0	0	1	0	0	1	0
cost-effectiveness	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	error analysis	2	3	0	4	1	2	3	1	2	4	3	4	2
adaptability	error analysis	2	3	0	1	0	0	2	0	0	2	2	4	0
scalability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	error analysis	0	2	2	0	0	0	0	0	1	3	2	2	0
maintainability	error analysis	0	2	0	1	3	4	3	0	1	4	3	1	2
modularity	error analysis	0	1	0	0	0	2	0	0	1	0	0	1	0
testability	error analysis	0	3	0	3	3	4	1	1	4	4	2	4	2
deployability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	error analysis	0	1	0	0	3	3	4	3	0	4	1	3	0
understandability	error analysis	3	3	2	0	3	0	0	0	4	1	1	1	0
usability	error analysis	0	3	0	1	3	0	0	3	0	0	1	1	0
debuggability	error analysis	4	0	0	4	3	4	4	4	2	4	4	4	1
explainability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	error analysis	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	keep model up to date by feeding with new labelled data points	4	3	3	4	2	3	3	4	4	4	3	4	3
effectiveness	keep model up to date by feeding with new labelled data points	4	4	3	3	2	4	3	3	4	4	3	4	3
responsiveness	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	keep model up to date by feeding with new labelled data points	0	3	0	0	0	0	2	0	0	3	3	1	0
resilience	keep model up to date by feeding with new labelled data points	3	3	0	0	0	3	3	3	4	3	4	3	0
adaptability	keep model up to date by feeding with new labelled data points	4	4	0	4	0	4	4	3	1	3	3	3	4
scalability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	keep model up to date by feeding with new labelled data points	0	3	0	1	0	0	2	0	1	4	3	3	0
maintainability	keep model up to date by feeding with new labelled data points	0	2	0	3	0	0	3	4	4	4	3	1	0
modularity	keep model up to date by feeding with new labelled data points	0	2	0	0	0	0	2	1	1	0	0	0	0
testability	keep model up to date by feeding with new labelled data points	0	1	0	0	0	0	1	3	0	4	0	0	2
deployability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	keep model up to date by feeding with new labelled data points	0	1	0	3	0	0	1	0	1	0	2	0	0
debuggability	keep model up to date by feeding with new labelled data points	0	1	0	0	0	0	0	3	2	3	0	0	0
explainability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	keep model up to date by feeding with new labelled data points	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	AB test all model changes	0	3	0	0	0	0	3	4	3	4	2	1	0
effectiveness	AB test all model changes	3	4	4	4	3	4	3	4	4	3	2	1	0
responsiveness	AB test all model changes	0	3	2	1	0	0	3	3	0	1	2	0	0
reusability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	AB test all model changes	2	4	4	2	1	2	2	3	1	2	2	1	0
efficiency	AB test all model changes	3	1	2	2	1	2	2	3	4	3	3	3	0
availability	AB test all model changes	0	2	0	0	3	0	0	3	0	1	2	0	2
resilience	AB test all model changes	0	3	3	0	3	3	2	3	4	2	2	4	2
adaptability	AB test all model changes	0	3	0	0	0	0	1	0	1	3	2	3	2
scalability	AB test all model changes	0	1	2	0	3	2	0	0	0	1	1	1	1
extensibility	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	AB test all model changes	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	do not test model which is not promising offline	0	1	0	1	0	3	4	0	3	4	3	1	2
effectiveness	do not test model which is not promising offline	0	2	3	3	1	4	4	1	4	4	2	3	2
responsiveness	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	do not test model which is not promising offline	2	4	4	3	3	3	4	4	4	4	4	4	1
efficiency	do not test model which is not promising offline	4	4	4	4	3	2	4	4	4	4	4	3	1
availability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	do not test model which is not promising offline	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	understand AB assumption violations and use alternatives	0	4	2	0	1	0	1	4	3	4	4	4	3
effectiveness	understand AB assumption violations and use alternatives	4	4	4	4	1	4	1	4	4	4	3	3	3
responsiveness	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	understand AB assumption violations and use alternatives	1	4	3	3	1	3	2	3	0	4	2	4	2
efficiency	understand AB assumption violations and use alternatives	3	3	3	1	1	0	3	3	4	4	2	3	1
availability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	understand AB assumption violations and use alternatives	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	unified environment for all lifecycle steps	2	1	3	3	0	1	2	3	4	0	1	3	1
efficiency	unified environment for all lifecycle steps	4	4	3	3	0	2	2	3	4	1	3	1	1
availability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	unified environment for all lifecycle steps	2	0	0	0	3	0	2	3	1	1	1	3	1
adaptability	unified environment for all lifecycle steps	0	2	1	0	3	0	2	3	2	2	3	3	0
scalability	unified environment for all lifecycle steps	2	1	1	1	0	2	1	3	3	3	1	4	3
extensibility	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	unified environment for all lifecycle steps	3	4	3	4	3	4	3	4	2	4	4	4	3
repeatability	unified environment for all lifecycle steps	4	4	4	4	3	4	3	4	1	3	3	4	3
operability	unified environment for all lifecycle steps	0	4	2	0	3	2	3	3	4	3	1	2	3
monitoring	unified environment for all lifecycle steps	3	0	0	1	1	0	3	3	3	3	1	3	1
discoverability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	unified environment for all lifecycle steps	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	reuse data, supported internal tooling and solutions	2	1	4	1	3	2	3	4	4	4	1	1	4
efficiency	reuse data, supported internal tooling and solutions	4	4	2	4	3	4	2	3	4	3	4	1	3
availability	reuse data, supported internal tooling and solutions	0	1	0	1	0	1	2	4	0	1	3	0	3
resilience	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	reuse data, supported internal tooling and solutions	0	0	2	0	3	1	2	4	0	0	2	2	1
scalability	reuse data, supported internal tooling and solutions	3	1	2	0	0	0	0	0	0	0	0	0	0
extensibility	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	reuse data, supported internal tooling and solutions	2	4	3	1	3	3	3	2	3	3	3	2	3
repeatability	reuse data, supported internal tooling and solutions	3	0	2	3	3	4	3	3	1	1	4	3	0
operability	reuse data, supported internal tooling and solutions	2	4	2	0	1	3	3	3	0	1	2	3	2
monitoring	reuse data, supported internal tooling and solutions	2	3	3	0	0	0	0	0	0	0	0	0	0
discoverability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	reuse data, supported internal tooling and solutions	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	turn experimental code into production code	2	1	1	0	0	2	2	3	2	4	1	3	0
efficiency	turn experimental code into production code	2	4	3	1	0	3	2	3	3	4	1	3	0
availability	turn experimental code into production code	0	1	0	0	1	0	1	4	1	1	4	0	0
resilience	turn experimental code into production code	2	1	0	0	1	2	1	0	1	2	4	0	0
adaptability	turn experimental code into production code	0	1	0	0	1	2	2	3	3	1	3	0	0
scalability	turn experimental code into production code	0	0	0	1	1	0	0	2	3	2	3	0	3
extensibility	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	turn experimental code into production code	3	4	2	3	3	4	3	3	3	3	4	0	3
repeatability	turn experimental code into production code	3	4	2	4	3	4	3	3	4	1	2	0	0
operability	turn experimental code into production code	0	4	0	0	1	1	3	4	2	1	1	0	0
monitoring	turn experimental code into production code	0	0	0	1	0	0	2	2	0	1	1	0	0
discoverability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	turn experimental code into production code	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	input data validation	3	2	2	2	2	2	2	2	1	2	3	2	3
effectiveness	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	input data validation	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	input data validation	3	4	4	1	3	3	3	3	3	3	3	3	0
accuracy	canary deployment (gradual rollouts)	0	1	0	0	0	0	0	0	0	3	2	0	0
effectiveness	canary deployment (gradual rollouts)	0	3	2	1	1	2	0	4	1	3	2	0	0
responsiveness	canary deployment (gradual rollouts)	1	3	2	1	3	4	2	2	3	2	2	2	0
reusability	canary deployment (gradual rollouts)	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	canary deployment (gradual rollouts)	3	1	0	0	3	0	0	4	3	2	2	2	0
efficiency	canary deployment (gradual rollouts)	4	4	0	0	3	0	0	3	2	1	2	1	0
availability	canary deployment (gradual rollouts)	1	1	0	4	3	4	2	0	4	3	4	1	1
resilience	canary deployment (gradual rollouts)	0	1	0	1	3	3	0	3	4	4	3	4	0
adaptability	canary deployment (gradual rollouts)	0	1	0	0	0	0	0	0	0	4	2	1	0
scalability	canary deployment (gradual rollouts)	0	3	2	0	1	3	1	0	0	3	1	3	1
extensibility	canary deployment (gradual rollouts)	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	canary deployment (gradual rollouts)	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	canary deployment (gradual rollouts)	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	canary deployment (gradual rollouts)	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	canary deployment (gradual rollouts)	1	2	2	3	3	3	3	0	4	4	2	3	1
repeatability	canary deployment (gradual rollouts)	0	2	0	0	0	0	1	0	2	2	1	2	0
